base_point,mean_point,stdev_point
APM_Gate_120_RMS,APM_Gate_120_RMS_Mean,APM_Gate_120_RMS_Stdev
APM_Gate_133_RMS,APM_Gate_133_RMS_Mean,APM_Gate_133_RMS_Stdev
Escalator_1230_RMS,Escalator_1230_RMS_Mean,Escalator_1230_RMS_Stdev
APM_Gate_120_RMS_Speed1,APM_Gate_120_RMS_Speed1_Mean,APM_Gate_120_RMS_Speed1_Stdev
APM_Gate_120_RMS_Speed2,APM_Gate_120_RMS_Speed2_Mean,APM_Gate_120_RMS_Speed2_Stdev
APM_Gate_120_RMS_Speed3,APM_Gate_120_RMS_Speed3_Mean,APM_Gate_120_RMS_Speed3_Stdev
APM_Gate_120_RMS_Speed4,APM_Gate_120_RMS_Speed4_Mean,APM_Gate_120_RMS_Speed4_Stdev
APM_Gate_133_RMS_RJSpeed1,APM_Gate_133_RMS_RJSpeed1_Mean,APM_Gate_133_RMS_RJSpeed1_Stdev
APM_Gate_133_RMS_RJSpeed2,APM_Gate_133_RMS_RJSpeed2_Mean,APM_Gate_133_RMS_RJSpeed2_Stdev
APM_Gate_133_RMS_WBSpeed1,APM_Gate_133_RMS_WBSpeed1_Mean,APM_Gate_133_RMS_WBSpeed1_Stdev
APM_Gate_133_RMS_WBSpeed2,APM_Gate_133_RMS_WBSpeed2_Mean,APM_Gate_133_RMS_WBSpeed2_Stdev
Escalator_1230_RMS_Speed1,Escalator_1230_RMS_Speed1_Mean,Escalator_1230_RMS_Speed1_Stdev
Escalator_1230_RMS_Speed2,Escalator_1230_RMS_Speed2_Mean,Escalator_1230_RMS_Speed2_Stdev